SEP=;
caseID;modality;grid;zone;minRho;maxRho;minTheta;maxTheta;Mean;Stdev;Min;Max;N
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;147; 4,189; 4,563;35,000;55,000;277,591;19,878;203,794;344,527;4403
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;148; 4,189; 4,563;57,500;77,500;267,806;18,669;200,793;325,082;4401
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;149; 4,189; 4,563;80,000;100,000;258,439;23,939;135,234;331,054;2678
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;150; 4,189; 4,563;102,500;122,500;256,628;28,859;137,830;336,058;4000
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;151; 4,189; 4,563;125,000;145,000;249,080;41,751;84,433;329,040;4403
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;152; 4,189; 4,563;147,500;167,500;192,438;52,577;58,832;310,132;4400
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;153; 4,189; 4,563;170,000;190,000;39,510; 8,650;15,149;65,431;2270
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;154; 4,189; 4,563;192,500;212,500;189,077;55,004;20,338;274,168;3808
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;155; 4,189; 4,563;215,000;235,000;214,323;59,660;38,607;306,097;4403
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;156; 4,189; 4,563;237,500;257,500;195,704;52,945; 0,000;278,397;4401
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;157; 4,189; 4,563;260,000;280,000;150,673;85,577; 0,000;261,544;2542
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;158; 4,189; 4,563;282,500;302,500;217,941;49,541; 0,000;316,961;3939
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;159; 4,189; 4,563;305,000;325,000;244,624;24,488;150,729;306,101;4403
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;160; 4,189; 4,563;327,500;347,500;265,323;36,434; 0,000;370,363;4401
